Property_ID,Suburb,Property_Type,Bedrooms,Bathrooms,Parking_Spaces,Land_Size_sqm,Building_Size_sqm,Sale_Price_AUD,Sale_Date,Distance_to_CBD_km,Source_URL,Notes,Dwelling_Group,Has_Land_Size
MD-001,Mount Druitt,House,5,3,5.0,543.0,,900000.0,2026-09-17,43,https://www.domain.com.au/2-durham-street-mount-druitt-nsw-2770-2020867083,,1,1
MD-002,Mount Druitt,House,3,1,2.0,455.0,,925000.0,2026-09-17,43,https://www.domain.com.au/6-druitt-street-mount-druitt-nsw-2770-2020984193,,1,1
MD-003,Mount Druitt,House,3,1,2.0,1012.0,,1530000.0,2026-09-14,43,https://www.domain.com.au/12-george-street-mount-druitt-nsw-2770-2021080938,,1,1
MD-004,Mount Druitt,Villa,3,2,2.0,303.0,,890000.0,2026-09-04,43,https://www.domain.com.au/4-7-baynes-street-mount-druitt-nsw-2770-2020881104,,1,1
MD-005,Mount Druitt,House,3,1,1.0,594.0,,942000.0,2026-09-02,43,https://www.domain.com.au/21-linden-street-mount-druitt-nsw-2770-2021107227,,1,1
MD-006,Mount Druitt,House,4,2,2.0,576.5,,1218000.0,2026-08-24,43,https://www.domain.com.au/4-edith-street-mount-druitt-nsw-2770-2021011150,land size not published,1,1
MD-007,Mount Druitt,House,3,1,3.0,1012.0,,1290000.0,2026-08-20,43,https://www.domain.com.au/52-paull-street-mount-druitt-nsw-2770-2020838189,,1,1
MD-008,Mount Druitt,House,3,1,1.0,600.0,,945000.0,2026-08-18,43,https://www.domain.com.au/8-berry-street-mount-druitt-nsw-2770-2020911003,,1,1
MD-009,Mount Druitt,House,4,2,1.0,637.0,,1000000.0,2026-08-17,43,https://www.domain.com.au/86-palmerston-road-mount-druitt-nsw-2770-2021027388,,1,1
MD-010,Mount Druitt,House,6,3,10.0,1012.0,,1700000.0,2026-08-14,43,https://www.domain.com.au/31-callagher-street-mount-druitt-nsw-2770-2020834866,,1,1
MD-011,Mount Druitt,House,4,3,1.0,1120.0,,1000000.0,2026-08-11,43,https://www.domain.com.au/20a-derwent-street-mount-druitt-nsw-2770-2021019727,,1,1
MD-012,Mount Druitt,Villa,3,1,1.0,207.0,,685000.0,2026-07-31,43,https://www.domain.com.au/2-17-o-brien-street-mount-druitt-nsw-2770-2021000022,,1,1
MD-013,Mount Druitt,House,3,1,1.0,264.0,,870000.0,2026-07-31,43,https://www.domain.com.au/5-2-4-meacher-street-mount-druitt-nsw-2770-2020941696,,1,1
MD-014,Mount Druitt,House,5,2,2.0,576.5,,1105000.0,2026-07-23,43,https://www.domain.com.au/2-2a-ophir-grove-mount-druitt-nsw-2770-2020781250,land size not published,1,1
MD-015,Mount Druitt,Villa,3,1,1.0,576.5,,660000.0,2026-07-09,43,https://www.domain.com.au/14-24-methven-street-mount-druitt-nsw-2770-2020967860,land size not published,1,1
MD-016,Mount Druitt,House,2,1,1.0,104.0,,440000.0,2026-06-25,43,https://www.domain.com.au/44-2-hythe-street-mount-druitt-nsw-2770-2021002772,,1,1
MD-017,Mount Druitt,Semi-detached,3,1,1.0,325.0,,825000.0,2026-06-20,43,https://www.domain.com.au/13a-notley-street-mount-druitt-nsw-2770-2020905061,,1,1
MD-018,Mount Druitt,Villa,2,1,1.0,576.5,,465000.0,2026-06-19,43,https://www.domain.com.au/6-49-methven-street-mount-druitt-nsw-2770-2020797524,land size not published,1,1
MD-019,Mount Druitt,House,3,1,1.0,576.5,,930000.0,2026-05-30,43,https://www.domain.com.au/31-calala-street-mount-druitt-nsw-2770-2020821977,land size not published; listing description says fully renovated,1,1
MD-020,Mount Druitt,House,4,1,1.0,1012.0,,1530000.0,2026-05-30,43,https://www.domain.com.au/32-tidswell-street-mount-druitt-nsw-2770-2020844963,,1,1
